LGA,WARD,name,type,ownership,code,lga,Type_2,ownership2,no,
,,IJEOMA MATERNITY,PRIMARY,PRIVATE,1,4,1,2,52,
,UZUAKOLI WARD 2,NGWU UZUAKOLI,PRIMARY,PUBLIC,1,4,1,1,53,
,,TOCHI HOSPITAL,SECONDARY,PRIVATE,1,4,2,2,54,
IKWUANO,OBORO WARD 1,AMAWOM,PRIMARY,PUBLIC,1,5,1,1,1,
,,OKWE,PRIMARY,PUBLIC,1,5,1,1,2,
,,UMUIGU,PRIMARY,PUBLIC,1,5,1,1,3,
,,OBORO MATERNITY NDORO,PRIMARY,PUBLIC,1,5,1,1,4,
,,NTALAKWU,PRIMARY,PUBLIC,1,5,1,1,5,
,,ORUIGWE,PRIMARY,PUBLIC,1,5,1,1,6,
,,LINDA MATERNITY,PRIMARY,PRIVATE,1,5,1,2,7,
,ISIALA OBORO WARD,ISIALA HEALTH  CLINIC,PRIMARY,PUBLIC,1,5,1,1,8,
,ARIAM WARD,ARIAM H/C,PRIMARY,PUBLIC,1,5,1,1,9,
,,ARIAM  PHC,PRIMARY,PUBLIC,1,5,1,1,10,
,IKEMBA WARD,IKEMBA,PRIMARY,PUBLIC,1,5,1,1,11,
,IBERE WARD,ITUNTA,PRIMARY,PUBLIC,1,5,1,1,12,
,,IHIM,PRIMARY,PUBLIC,1,5,1,1,13,
,,OBUOHIA,PRIMARY,PUBLIC,1,5,1,1,14,
,,INYILA,PRIMARY,PUBLIC,1,5,1,1,15,
,,AHIAORIE,PRIMARY,PUBLIC,1,5,1,1,16,
,,NKALUNTA,PRIMARY,PUBLIC,1,5,1,1,17,
,,IBERENTA,PRIMARY,PUBLIC,1,5,1,1,18,
,,NGWUGWO,PRIMARY,PUBLIC,1,5,1,1,19,
,USUSAKA WARD,USUAKA UKWU,PRIMARY,PUBLIC,1,5,1,1,20,
,AJANTAJU,ARO-AJATAKIRI,PRIMARY,PUBLIC,1,5,1,1,21,
,UMUDIKE WARD,AMABA,PRIMARY,PUBLIC,1,5,1,1,22,
,UMUDIKE UKWU WARD,UMUDIKE H/C,PRIMARY,PUBLIC,1,5,1,1,23,
,OLOKO WARD,AHABA UKWU,PRIMARY,PUBLIC,1,5,1,1,24,
,,AMIZI,PRIMARY,PUBLIC,1,5,1,1,25,
,,OBUOHIA,PRIMARY,PUBLIC,1,5,1,1,26,
,,OLOKO H/C,PRIMARY,PUBLIC,1,5,1,1,27,
,,AWOMUKWU,PRIMARY,PUBLIC,1,5,1,1,28,
,,USAKA ELEOGU,PRIMARY,PUBLIC,1,5,1,1,29,
,,NCHARA,PRIMARY,PUBLIC,1,5,1,1,30,
,,NKASI MATERNITY,PRIMARY,PRIVATE,1,5,1,2,31,
,,CHRISTIAN HOSPITAL,SECONDARY,PRIVATE,1,5,2,2,32,
,AMOMUKWU WARD,ISIGWU,PRIMARY,PUBLIC,1,5,1,1,33,
,,OBUGWU,PRIMARY,PUBLIC,1,5,1,1,34,
ISIALANGWA NORTH,AMASIA NSULU WARD,UMUAKWU,PRIMARY,PUBLIC,1,6,1,1,1,
,,AMACHI,PRIMARY,PUBLIC,1,6,1,1,2,
,,USAKA,PRIMARY,PUBLIC,1,6,1,1,3,
,UMUNNA NSULU WARD,OHUHU,PRIMARY,PUBLIC,1,6,1,1,4,
,,UMUODE,PRIMARY,PUBLIC,1,6,1,1,5,
,,UMUOSU,PRIMARY,PUBLIC,1,6,1,1,6,
,ISIALA NSULU,EZIALA,PRIMARY,PUBLIC,1,6,1,1,7,
,,AGBURUEZEUKWU,PRIMARY,PUBLIC,1,6,1,1,8,
,MBIHERE AMORJI WARD,ABAYI,PRIMARY,PUBLIC,1,6,1,1,9,
,,AMORJI,PRIMARY,PUBLIC,1,6,1,1,10,
,,OSUSU,PRIMARY,PUBLIC,1,6,1,1,11,
,NGWA UKWU,UMUCHIMA,PRIMARY,PUBLIC,1,6,1,1,12,
,,AHIAUBI,PRIMARY,PUBLIC,1,6,1,1,13,
,,IHIE,PRIMARY,PUBLIC,1,6,1,1,14,
,NTIGHA,NTIGHA,PRIMARY,PUBLIC,1,6,1,1,15,
,,OBINGWA,PRIMARY,PUBLIC,1,6,1,1,16,
,,UMUOGWUKA,PRIMARY,PUBLIC,1,6,1,1,17,
,UMUHA,URATHA,PRIMARY,PUBLIC,1,6,1,1,18,
,,EGBELUBI,PRIMARY,PUBLIC,1,6,1,1,19,
,,APU-NA EKPU,PRIMARY,PUBLIC,1,6,1,1,20,
,UMUNKPEYI,UMUNKEYI MBAWSI,PRIMARY,PUBLIC,1,6,1,1,21,
,UMUOMAYI,UMUOMAYI MBAWSI,PRIMARY,PUBLIC,1,6,1,1,22,
ISIALANGWA SOUTH,AMAISE AHABA WARD 1,UGBA,PRIMARY,PUBLIC,1,7,1,1,1,
,,RONALD HOSP,SECONDARY,PRIVATE,1,7,2,2,2,
,NGWOBI WARD 2,NGWAOBI,PRIMARY,PUBLIC,1,7,1,1,3,
,MBUTU UKWU WARD 3,MBUTU UKWU,PRIMARY,PUBLIC,1,7,1,1,4,
,MBUTU NGWA WARD 4,MBUTU NGWA,PRIMARY,PUBLIC,1,7,1,1,5,
,,ST MERCY MATERNITY,PRIMARY,PRIVATE,1,7,1,2,6,
,OSOKWA WARD 5,UMUHU,PRIMARY,PUBLIC,1,7,1,1,7,
,,IKEM,PRIMARY,PUBLIC,1,7,1,1,8,
,,ETEGHA NA AGBOGHO,PRIMARY,PUBLIC,1,7,1,1,9,
,,OSOKWA MODEL,PRIMARY,PUBLIC,1,7,1,1,10,
,,UMUABALI,PRIMARY,PUBLIC,1,7,1,1,11,
,AKU NA EKPU WARD 6,MGBOKONTA,PRIMARY,PUBLIC,1,7,1,1,12,
,,OBUBA,PRIMARY,PUBLIC,1,7,1,1,13,
,,UMUNKPEYI,PRIMARY,PUBLIC,1,7,1,1,14,
,,UMUKO,PRIMARY,PUBLIC,1,7,1,1,15,
,,AMAKU,PRIMARY,PUBLIC,1,7,1,1,16,
,,EZIAMA,PRIMARY,PUBLIC,1,7,1,1,17,
,OMOBA WARD 7,OMOBA,PRIMARY,PUBLIC,1,7,1,1,18,
,,RONALD HOPS,SECONDARY,PRIVATE,1,7,2,2,19,
,OVUNGWU WARD 8,AGBARAGWU,PRIMARY,PUBLIC,1,7,1,1,20,
,,AFRICARE,PRIMARY,PUBLIC,1,7,1,1,21,
,OVUOKWU WARD 9,UMUAWA,PRIMARY,PUBLIC,1,7,1,1,22,
,,EKETA,PRIMARY,PUBLIC,1,7,1,1,23,
,OKPORO AHABA WARD 10,UMUAJUJU,PRIMARY,PUBLIC,1,7,1,1,24,
,,MBUTU UMUOKO,PRIMARY,PUBLIC,1,7,1,1,25,
,,UMUHIE,PRIMARY,PUBLIC,1,7,1,1,26,
,,"ST,SIMEON MATERNITY",PRIMARY,PRIVATE,1,7,1,2,27,
,EHI NA UGURU WARD 11,EBEYI,PRIMARY,PUBLIC,1,7,1,1,28,
,,UMUEHIM,PRIMARY,PUBLIC,1,7,1,1,29,
,AMAISE WARD 17,UMUEKENE,PRIMARY,PUBLIC,1,7,1,1,30,
,OWERE NA OCHE WARD 18,OWERENTA,PRIMARY,PUBLIC,1,7,1,1,31,
,AMAITOLU WARD 16,NGWAMA,PRIMARY,PUBLIC,1,7,1,1,32,
,,UMUOTIRI,PRIMARY,PUBLIC,1,7,1,1,33,
ISUIKWUATO,ISIALA WARD,GENERAL HOSPITAL,SECONDARY,PUBLIC,1,8,1,1,1,
,,ECHIELE,PRIMARY,PUBLIC,1,8,1,1,2,
,ACHA/AMACHARA WARD,ACHA,PRIMARY,PUBLIC,1,8,1,1,3,
,,AMACHARA,PRIMARY,PUBLIC,1,8,1,1,4,
,ACHARA,ACHARA,PRIMARY,PUBLIC,1,8,1,1,5,
,AMIYIOBINOHIA/NUNYA WARD,AMIYIOBINOHIA,PRIMARY,PUBLIC,1,8,1,1,6,
,ELUAMA WARD,ELUAMA,PRIMARY,PUBLIC,1,8,1,1,7,
,,UMUEREM,PRIMARY,PUBLIC,1,8,1,1,8,
,,UMUEBERENKUME,PRIMARY,PUBLIC,1,8,1,1,9,
,EZERE,EZERE,PRIMARY,PUBLIC,1,8,1,1,10,
,,OZARA,PRIMARY,PUBLIC,1,8,1,1,11,
,,UMUAKWUA,PRIMARY,PUBLIC,1,8,1,1,12,
,IKEAGHA WARD 1,ONUAKU,PRIMARY,PUBLIC,1,8,1,1,13,
,IKEAGHA WARD 11,NO FACILITY,PRIMARY,PUBLIC,1,8,1,1,14,
,,GOD’S CARE MATERNITY,SECONDARY,PRIVATE,1,8,2,2,15,
,IMENYI WARD 1,OHIYINTA,PRIMARY,PUBLIC,1,8,1,1,16,
,IMENYI WARD 11,AHABA,PRIMARY,PUBLIC,1,8,1,1,17,
,ISUNABO WARD,UTURU (UKWUNANGWU),PRIMARY,PUBLIC,1,8,1,1,18,
,,OGECHUKWU CLINIC,SECONDARY,PRIVATE,1,8,2,2,19,
,NDUNDU,NDUNDU,PRIMARY,PUBLIC,1,8,1,1,20,
,OBIALUGO,UMUIBIALA,PRIMARY,PUBLIC,1,8,1,1,21,
,OGUDUASA,OGHIGHE,PRIMARY,PUBLIC,1,8,1,1,22,
,,AMAIBO,PRIMARY,PUBLIC,1,8,1,1,23,
,,AMAYI UTTU,PRIMARY,PUBLIC,1,8,1,1,24,
,OVIM,OVIM,PRIMARY,PUBLIC,1,8,1,1,25,
,,AMANGELEUKWU,PRIMARY,PUBLIC,1,8,1,1,26,
,,OBAYI,PRIMARY,PUBLIC,1,8,1,1,27,
,UGWUELE/NGODO WARD,UGWUELE,PRIMARY,PUBLIC,1,8,1,1,28,
,,NGODO,PRIMARY,PUBLIC,1,8,1,1,29,
,UMUANYI/ABSU,UTURU(MGBAUGWU),PRIMARY,PUBLIC,1,8,1,1,30,
,,MARIST COTTAGE UTURU,PRIMARY,PUBLIC,1,8,1,1,31,
,,MARIST COTTAGE HOSP,SECONDARY,PRIVATE,1,8,2,2,32,
,UMUASUA,UMUASUA,PRIMARY,PUBLIC,1,8,1,1,33,
,UMUNNEKWU WARD 11,UGWUNTU,PRIMARY,PUBLIC,1,8,1,1,34,
,,UMUNNEKWU,PRIMARY,PUBLIC,1,8,1,1,35,
,,DR IBEAJA MEMO HOSP,SECONDARY,PRIVATE,1,8,2,2,36,
,AHABA IMENYI WARD 11,IZUNDU HOSP,SECONDARY,PRIVATE,1,8,2,2,37,
OBINGWA,ABAYI WARD ,OSUSU AMAUKWA ,PRIMARY,PUBLIC,1,9,1,1,1,
,,ABAYI OHANZE,PRIMARY,PUBLIC,1,9,1,1,2,
,,EHERE,PRIMARY,PUBLIC,1,9,1,1,3,
,,NTIGHA,PRIMARY,PUBLIC,1,9,1,1,4,
,,UKPAKIRI,PRIMARY,PUBLIC,1,9,1,1,5,
,,UMUOKOHIA,PRIMARY,PUBLIC,1,9,1,1,6,
,,SAINT GRACE HOSPITAL,SECONDARY,PRIVATE,1,9,2,2,7,
,MGBOKO UMUANUNU WARD ,NENU,PRIMARY,PUBLIC,1,9,1,1,8,
,,UMUARO,PRIMARY,PUBLIC,1,9,1,1,9,
,,MGBOKO,PRIMARY,PUBLIC,1,9,1,1,10,
,MGBOKO ITU WARD ,MGBOKO ITU,PRIMARY,PUBLIC,1,9,1,1,11,
,,OSAA UKWU,PRIMARY,PUBLIC,1,9,1,1,12,
,,AKANU OKPULO,PRIMARY,PUBLIC,1,9,1,1,13,
,,AKANU UMUORIE,PRIMARY,PUBLIC,1,9,1,1,14,
,AHIABA OSAA OKEA WARD ,AHIABA OSAA OKEA,PRIMARY,PUBLIC,1,9,1,1,15,
,,UMUKALIKA,PRIMARY,PUBLIC,1,9,1,1,16,
,,AHIABA,PRIMARY,PUBLIC,1,9,1,1,17,
,,ECWA UMUOKEA,PRIMARY,PUBLIC,1,9,1,1,18,
,,OHURU,PRIMARY,PUBLIC,1,9,1,1,19,
,MGBOKO AMAIRI WARD ,MGBOKO AMAIRI,PRIMARY,PUBLIC,1,9,1,1,20,
